       e         k      ka/e       k/e 
0.000000  -0.000000  NaN  NaN 
0.001644  0.000098  2.729554  0.059548 
0.002065  0.000078  1.727236  0.037682 
0.002319  -0.000068  -1.346255  -0.029370 
0.001935  -0.000017  -0.392738  -0.008568 
0.003656  -0.000136  -1.707634  -0.037254 
0.006356  -0.000189  -1.364297  -0.029764 
0.006971  -0.000327  -2.149918  -0.046903 
0.009065  -0.000522  -2.639115  -0.057575 
0.010707  -0.000613  -2.624774  -0.057263 
0.011314  -0.000691  -2.799256  -0.061069 
0.013311  -0.000924  -3.182276  -0.069425 
0.014250  -0.001239  -3.984349  -0.086923 
0.014132  -0.001280  -4.150459  -0.090547 
0.014567  -0.001429  -4.497183  -0.098111 
0.015710  -0.001546  -4.510600  -0.098404 
0.017688  -0.001784  -4.624425  -0.100887 
0.021970  -0.002212  -4.614734  -0.100676 
0.021098  -0.002550  -5.539763  -0.120857 
0.023183  -0.002944  -5.821469  -0.127002 
0.026068  -0.003348  -5.886963  -0.128431 
0.027633  -0.003766  -6.246281  -0.136270 
0.030174  -0.004288  -6.514598  -0.142124 
