       e         k      ka/e       k/e 
0.000000  -0.000000  NaN  NaN 
-0.001629  0.000000  -0.004247  -0.000280 
-0.001709  -0.000019  0.171447  0.011322 
-0.000437  -0.000027  0.931866  0.061536 
0.000507  -0.000090  -2.699891  -0.178289 
0.002921  -0.000138  -0.715813  -0.047269 
0.005066  -0.000183  -0.546470  -0.036086 
0.006996  -0.000316  -0.683833  -0.045157 
0.009490  -0.000549  -0.876451  -0.057877 
0.011381  -0.000803  -1.068567  -0.070564 
0.012323  -0.000994  -1.221943  -0.080692 
0.012996  -0.001107  -1.289670  -0.085164 
0.015946  -0.001580  -1.500466  -0.099084 
0.018632  -0.002186  -1.776800  -0.117332 
0.021275  -0.002890  -2.057297  -0.135855 
0.024336  -0.003622  -2.253561  -0.148815 
0.027373  -0.004319  -2.389249  -0.157776 
0.029841  -0.004965  -2.519297  -0.166363 
